"Año";"Mes";"Productos";"Clave  Estado";"Estado";"Importe de los creditos";"Numero de Creditos";"Numero de Beneficiados"
2015;8;"3.- INCUBACION EN LINEA";1010000;"DURANGO";150000.00;1;1
2015;8;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";1032000.00;1;1
2016;12;"3.- INCUBACION EN LINEA";1020000;"OAXACA";450000.00;3;3
2016;5;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";325000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1001000;"AGUASCALIENTES";3206000.00;6;6
2015;8;"2.- TU CREDITO PYME JOVEN";1025000;"SINALOA";500000.00;1;1
2017;9;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";14416560.00;10;10
2016;6;"3.- INCUBACION EN LINEA";1016000;"MICHOACAN";300000.00;2;2
2017;1;"3.- INCUBACION EN LINEA";1027000;"TABASCO";150000.00;1;1
2016;4;"2.- TU CREDITO PYME JOVEN";1012000;"GUERRERO";100000.00;1;1
2017;9;"3.- INCUBACION EN LINEA";1007000;"CHIAPAS";150000.00;1;1
2016;4;"1.- TU CREDITO PARA CRECER";1009000;"CIUDAD DE MEXICO";447000.00;2;2
2017;8;"2.- TU CREDITO PYME JOVEN";1027000;"TABASCO";800000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1011000;"GUANAJUATO";100000.00;1;1
2017;1;"3.- INCUBACION EN LINEA";1016000;"MICHOACAN";250000.00;2;2
2017;5;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";1450000.00;3;3
2015;8;"3.- INCUBACION EN LINEA";1001000;"AGUASCALIENTES";150000.00;1;1
2017;11;"1.- TU CREDITO PARA CRECER";1016000;"MICHOACAN";80000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1002000;"BAJA CALIFORNIA NORTE";150000.00;1;1
2016;1;"3.- INCUBACION EN LINEA";1020000;"OAXACA";150000.00;1;1
2016;6;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";1500000.00;1;1
2016;9;"2.- TU CREDITO PYME JOVEN";1026000;"SONORA";1000000.00;1;1
2015;12;"1.- TU CREDITO PARA CRECER";1015000;"MEXICO";700000.00;4;4
2015;8;"3.- INCUBACION EN LINEA";1003000;"BAJA CALIFORNIA SUR";150000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";150000.00;1;1
2016;11;"3.- INCUBACION EN LINEA";1018000;"NAYARIT";750000.00;5;5
2017;8;"2.- TU CREDITO PYME JOVEN";1017000;"MORELOS";944444.44;1;1
2016;6;"2.- TU CREDITO PYME JOVEN";1029000;"TLAXCALA";580000.00;1;1
2016;2;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";5339000.00;9;9
2015;9;"1.- TU CREDITO PARA CRECER";1003000;"BAJA CALIFORNIA SUR";195800.00;1;1
2016;6;"3.- INCUBACION EN LINEA";1022000;"QUERETARO";1350000.00;10;10
2015;8;"3.- INCUBACION EN LINEA";1020000;"OAXACA";300000.00;2;2
2016;1;"2.- TU CREDITO PYME JOVEN";1025000;"SINALOA";330000.00;2;2
2015;8;"3.- INCUBACION EN LINEA";1018000;"NAYARIT";100000.00;1;1
2015;9;"3.- INCUBACION EN LINEA";1013000;"HIDALGO";150000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1025000;"SINALOA";150000.00;1;1
2017;5;"1.- TU CREDITO PARA CRECER";1008000;"CHIHUAHUA";300000.00;1;1
2016;4;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";450000.00;3;3
2015;8;"3.- INCUBACION EN LINEA";1019000;"NUEVO LEON";150000.00;1;1
2016;8;"3.- INCUBACION EN LINEA";1031000;"YUCATAN";330000.00;3;3
2015;8;"3.- INCUBACION EN LINEA";1026000;"SONORA";150000.00;1;1
2016;10;"1.- TU CREDITO PARA CRECER";1016000;"MICHOACAN";108000.00;1;1
2016;9;"3.- INCUBACION EN LINEA";1014000;"JALISCO";300000.00;2;2
2017;11;"2.- TU CREDITO PYME JOVEN";1008000;"CHIHUAHUA";2686000.00;4;4
2016;2;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";3528000.00;6;6
2015;9;"1.- TU CREDITO PARA CRECER";1001000;"AGUASCALIENTES";300000.00;2;2
2015;9;"1.- TU CREDITO PARA CRECER";1008000;"CHIHUAHUA";390000.00;2;2
2015;9;"1.- TU CREDITO PARA CRECER";1009000;"CIUDAD DE MEXICO";150000.00;1;1
2017;6;"1.- TU CREDITO PARA CRECER";1015000;"MEXICO";130000.00;1;1
2016;5;"3.- INCUBACION EN LINEA";1015000;"MEXICO";1937000.00;14;14
2015;12;"3.- INCUBACION EN LINEA";1021000;"PUEBLA";150000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";1890000.00;3;3
2017;9;"3.- INCUBACION EN LINEA";1014000;"JALISCO";150000.00;1;1
2016;5;"3.- INCUBACION EN LINEA";1025000;"SINALOA";1350000.00;9;9
2016;5;"1.- TU CREDITO PARA CRECER";1010000;"DURANGO";100000.00;1;1
2015;9;"1.- TU CREDITO PARA CRECER";1011000;"GUANAJUATO";300000.00;2;2
2015;9;"1.- TU CREDITO PARA CRECER";1022000;"QUERETARO";420000.00;2;2
2017;12;"1.- TU CREDITO PARA CRECER";1014000;"JALISCO";481000.00;2;2
2016;2;"3.- INCUBACION EN LINEA";1014000;"JALISCO";150000.00;1;1
2016;12;"3.- INCUBACION EN LINEA";1006000;"COLIMA";150000.00;1;1
2017;1;"2.- TU CREDITO PYME JOVEN";1016000;"MICHOACAN";1253000.00;2;2
2017;9;"3.- INCUBACION EN LINEA";1021000;"PUEBLA";600000.00;4;4
2015;9;"1.- TU CREDITO PARA CRECER";1012000;"GUERRERO";187000.00;1;1
2015;9;"1.- TU CREDITO PARA CRECER";1015000;"MEXICO";25000.00;1;1
2016;8;"3.- INCUBACION EN LINEA";1025000;"SINALOA";1640000.00;12;12
2016;6;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";450000.00;3;3
2015;9;"1.- TU CREDITO PARA CRECER";1018000;"NAYARIT";300000.00;1;1
2016;5;"1.- TU CREDITO PARA CRECER";1019000;"NUEVO LEON";200000.00;1;1
2016;3;"2.- TU CREDITO PYME JOVEN";1013000;"HIDALGO";214000.00;1;1
2015;9;"3.- INCUBACION EN LINEA";1012000;"GUERRERO";70000.00;1;1
2015;9;"1.- TU CREDITO PARA CRECER";1019000;"NUEVO LEON";100000.00;1;1
2017;5;"2.- TU CREDITO PYME JOVEN";1013000;"HIDALGO";4430000.00;3;3
2015;9;"1.- TU CREDITO PARA CRECER";1031000;"YUCATAN";600000.00;2;2
2015;9;"1.- TU CREDITO PARA CRECER";1025000;"SINALOA";240000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1019000;"NUEVO LEON";660000.00;3;3
2017;9;"2.- TU CREDITO PYME JOVEN";1021000;"PUEBLA";3500000.00;2;2
2016;7;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";3424000.00;4;4
2016;11;"2.- TU CREDITO PYME JOVEN";1032000;"ZACATECAS";500000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1005000;"COAHUILA";581000.00;2;2
2016;8;"3.- INCUBACION EN LINEA";1019000;"NUEVO LEON";835000.00;6;6
2015;10;"3.- INCUBACION EN LINEA";1014000;"JALISCO";150000.00;1;1
2016;6;"2.- TU CREDITO PYME JOVEN";1002000;"BAJA CALIFORNIA NORTE";2640000.00;3;3
2016;11;"3.- INCUBACION EN LINEA";1029000;"TLAXCALA";300000.00;2;2
2015;9;"2.- TU CREDITO PYME JOVEN";1012000;"GUERRERO";1600000.00;2;2
2016;10;"1.- TU CREDITO PARA CRECER";1012000;"GUERRERO";78000.00;1;1
2017;6;"2.- TU CREDITO PYME JOVEN";1022000;"QUERETARO";1642000.00;3;3
2016;1;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";3374000.00;3;3
2015;9;"2.- TU CREDITO PYME JOVEN";1008000;"CHIHUAHUA";1342000.00;3;3
2015;9;"2.- TU CREDITO PYME JOVEN";1010000;"DURANGO";2950000.00;4;4
2015;9;"3.- INCUBACION EN LINEA";1016000;"MICHOACAN";1450000.00;10;10
2016;5;"3.- INCUBACION EN LINEA";1029000;"TLAXCALA";150000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";1600000.00;1;1
2016;6;"3.- INCUBACION EN LINEA";1014000;"JALISCO";150000.00;1;1
2016;11;"3.- INCUBACION EN LINEA";1014000;"JALISCO";564000.00;5;5
2017;1;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";448000.00;3;3
2015;9;"2.- TU CREDITO PYME JOVEN";1016000;"MICHOACAN";223000.00;1;1
2016;9;"1.- TU CREDITO PARA CRECER";1016000;"MICHOACAN";73000.00;1;1
2016;12;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";2369000.00;7;7
2017;11;"2.- TU CREDITO PYME JOVEN";1005000;"COAHUILA";90000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";3287000.00;6;6
2015;9;"2.- TU CREDITO PYME JOVEN";1021000;"PUEBLA";1330000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";893000.00;2;2
2016;5;"3.- INCUBACION EN LINEA";1014000;"JALISCO";600000.00;4;4
2015;11;"3.- INCUBACION EN LINEA";1019000;"NUEVO LEON";150000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1025000;"SINALOA";200000.00;1;1
2016;1;"2.- TU CREDITO PYME JOVEN";1027000;"TABASCO";1224300.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1027000;"TABASCO";1000000.00;1;1
2016;1;"2.- TU CREDITO PYME JOVEN";1026000;"SONORA";190000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1031000;"YUCATAN";307000.00;1;1
2015;9;"3.- INCUBACION EN LINEA";1005000;"COAHUILA";150000.00;1;1
2017;10;"2.- TU CREDITO PYME JOVEN";1017000;"MORELOS";2708000.00;2;2
2016;3;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";173000.00;2;2
2016;1;"2.- TU CREDITO PYME JOVEN";1020000;"OAXACA";412000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1016000;"MICHOACAN";280000.00;2;2
2015;9;"3.- INCUBACION EN LINEA";1008000;"CHIHUAHUA";150000.00;1;1
2017;7;"4.- INCUBACION PRESENCIAL";1030000;"VERACRUZ";200000.00;1;1
2015;9;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";300000.00;2;2
2017;11;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";9077000.00;7;7
2016;11;"2.- TU CREDITO PYME JOVEN";1023000;"QUINTANA ROO";937000.00;1;1
2017;10;"2.- TU CREDITO PYME JOVEN";1022000;"QUERETARO";4195000.00;4;4
2017;6;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";1599000.00;3;3
2016;5;"3.- INCUBACION EN LINEA";1030000;"VERACRUZ";200000.00;2;2
2015;9;"3.- INCUBACION EN LINEA";1015000;"MEXICO";800000.00;6;6
2016;5;"1.- TU CREDITO PARA CRECER";1011000;"GUANAJUATO";250000.00;1;1
2017;9;"2.- TU CREDITO PYME JOVEN";1008000;"CHIHUAHUA";2300000.00;3;3
2017;2;"1.- TU CREDITO PARA CRECER";1025000;"SINALOA";415000.00;2;2
2017;7;"2.- TU CREDITO PYME JOVEN";1025000;"SINALOA";12585428.57;13;13
2015;12;"2.- TU CREDITO PYME JOVEN";1021000;"PUEBLA";834000.00;1;1
2015;9;"3.- INCUBACION EN LINEA";1018000;"NAYARIT";80000.00;1;1
2016;10;"2.- TU CREDITO PYME JOVEN";1022000;"QUERETARO";705000.00;2;2
2016;7;"2.- TU CREDITO PYME JOVEN";1002000;"BAJA CALIFORNIA NORTE";2129000.00;3;3
2016;8;"2.- TU CREDITO PYME JOVEN";1027000;"TABASCO";230000.00;1;1
2017;4;"1.- TU CREDITO PARA CRECER";1011000;"GUANAJUATO";466000.00;3;3
2015;9;"3.- INCUBACION EN LINEA";1021000;"PUEBLA";550000.00;4;4
2017;7;"3.- INCUBACION EN LINEA";1003000;"BAJA CALIFORNIA SUR";591666.66;4;4
2015;9;"3.- INCUBACION EN LINEA";1025000;"SINALOA";300000.00;2;2
2017;6;"1.- TU CREDITO PARA CRECER";1002000;"BAJA CALIFORNIA NORTE";300000.00;1;1
2017;12;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";1928000.00;3;3
2017;7;"2.- TU CREDITO PYME JOVEN";1023000;"QUINTANA ROO";2462000.00;2;2
2015;10;"3.- INCUBACION EN LINEA";1025000;"SINALOA";250000.00;2;2
2015;9;"3.- INCUBACION EN LINEA";1027000;"TABASCO";145000.00;1;1
2015;9;"3.- INCUBACION EN LINEA";1030000;"VERACRUZ";300000.00;2;2
2015;10;"1.- TU CREDITO PARA CRECER";1003000;"BAJA CALIFORNIA SUR";200000.00;1;1
2017;2;"4.- INCUBACION PRESENCIAL";1022000;"QUERETARO";1000000.00;2;2
2017;9;"3.- INCUBACION EN LINEA";1008000;"CHIHUAHUA";150000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1008000;"CHIHUAHUA";380000.00;2;2
2016;9;"2.- TU CREDITO PYME JOVEN";1010000;"DURANGO";162000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1009000;"CIUDAD DE MEXICO";300000.00;2;2
2015;12;"1.- TU CREDITO PARA CRECER";1030000;"VERACRUZ";100000.00;1;1
2016;6;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";6999000.00;8;8
2015;10;"1.- TU CREDITO PARA CRECER";1011000;"GUANAJUATO";340000.00;2;2
2016;4;"3.- INCUBACION EN LINEA";1013000;"HIDALGO";555000.00;5;5
2017;1;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";500000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1012000;"GUERRERO";300000.00;1;1
2016;6;"3.- INCUBACION EN LINEA";1015000;"MEXICO";400000.00;3;3
2016;2;"2.- TU CREDITO PYME JOVEN";1026000;"SONORA";1300000.00;1;1
2016;11;"3.- INCUBACION EN LINEA";1020000;"OAXACA";80000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1013000;"HIDALGO";50000.00;1;1
2016;12;"1.- TU CREDITO PARA CRECER";1011000;"GUANAJUATO";958000.00;6;6
2016;8;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";1278400.00;2;2
2016;1;"2.- TU CREDITO PYME JOVEN";1010000;"DURANGO";2035000.00;3;3
2016;8;"3.- INCUBACION EN LINEA";1016000;"MICHOACAN";435000.00;3;3
2016;10;"3.- INCUBACION EN LINEA";1006000;"COLIMA";150000.00;1;1
2016;12;"4.- INCUBACION PRESENCIAL";1031000;"YUCATAN";150000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1015000;"MEXICO";120000.00;1;1
2015;10;"1.- TU CREDITO PARA CRECER";1017000;"MORELOS";189400.00;1;1
2016;4;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";3937000.00;4;4
2015;10;"1.- TU CREDITO PARA CRECER";1025000;"SINALOA";786000.00;4;4
2016;8;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";2187000.00;15;15
2016;11;"1.- TU CREDITO PARA CRECER";1008000;"CHIHUAHUA";400000.00;2;2
2016;5;"3.- INCUBACION EN LINEA";1004000;"CAMPECHE";650000.00;5;5
2015;10;"1.- TU CREDITO PARA CRECER";1028000;"TAMAULIPAS";200000.00;2;2
2016;10;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";943000.00;3;3
2017;8;"2.- TU CREDITO PYME JOVEN";1026000;"SONORA";5679000.00;9;9
2016;11;"4.- INCUBACION PRESENCIAL";1019000;"NUEVO LEON";480000.00;1;1
2015;10;"2.- TU CREDITO PYME JOVEN";1002000;"BAJA CALIFORNIA NORTE";1080000.00;2;2
2015;10;"2.- TU CREDITO PYME JOVEN";1003000;"BAJA CALIFORNIA SUR";2516000.00;4;4
2015;10;"2.- TU CREDITO PYME JOVEN";1005000;"COAHUILA";3300000.00;2;2
2016;3;"3.- INCUBACION EN LINEA";1028000;"TAMAULIPAS";150000.00;1;1
2016;10;"3.- INCUBACION EN LINEA";1022000;"QUERETARO";1410000.00;10;10
2017;4;"3.- INCUBACION EN LINEA";1008000;"CHIHUAHUA";150000.00;1;1
2015;10;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";200000.00;1;1
2015;10;"2.- TU CREDITO PYME JOVEN";1008000;"CHIHUAHUA";3200000.00;2;2
2017;4;"1.- TU CREDITO PARA CRECER";1003000;"BAJA CALIFORNIA SUR";300000.00;1;1
2016;2;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";1772000.00;3;3
2016;8;"3.- INCUBACION EN LINEA";1028000;"TAMAULIPAS";800000.00;7;7
2015;10;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";300000.00;1;1
2017;2;"2.- TU CREDITO PYME JOVEN";1025000;"SINALOA";2422000.00;3;3
2015;11;"2.- TU CREDITO PYME JOVEN";1031000;"YUCATAN";880000.00;1;1
2015;10;"2.- TU CREDITO PYME JOVEN";1012000;"GUERRERO";1108000.00;2;2
2015;10;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";4768000.00;6;6
2015;10;"2.- TU CREDITO PYME JOVEN";1016000;"MICHOACAN";500000.00;2;2
2017;7;"1.- TU CREDITO PARA CRECER";1002000;"BAJA CALIFORNIA NORTE";389000.00;2;2
2015;10;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";4600000.00;9;9
2017;12;"1.- TU CREDITO PARA CRECER";1003000;"BAJA CALIFORNIA SUR";160000.00;1;1
2015;10;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";2500000.00;1;1
